title,link,price,image_link,description,,Price in DKK,Price in CHF,Price in GBP,Price in AUD,Price in SED,Price in USD,Price in SGD,Price in EUR,Price in CAD,,,,material,Sleeves,Color,,,,,,,,,,availability,Necks
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-1,448,https://img.sonofatailor.com/images/customizer/product/White_O_Crew_Regular_NoPocket-557cde63-ba76-4083-8776-21ab4e17814c.jpg,"Short Sleeve T-Shirt, White, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,White,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-2,448,https://img.sonofatailor.com/images/customizer/product/Black_O_Crew_Regular_NoPocket-cdfc80d2-539f-496b-8cc5-1f6d5d03390c.jpg,"Short Sleeve T-Shirt, Black, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Black,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-3,448,https://img.sonofatailor.com/images/customizer/product/DeepBlue_O_Crew_Regular_NoPocket-f84fbbf8-00b5-486e-8fb6-877e99352c70.jpg,"Short Sleeve T-Shirt, Deep Blue, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Deep Blue,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-12,448,https://img.sonofatailor.com/images/customizer/product/White_O_Crew_Regular_NoPocket-4a83d674-0f8a-451c-b8e9-1cf5cac41ac3.jpg,"Short Sleeve T-Shirt, White, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,White,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-13,448,https://img.sonofatailor.com/images/customizer/product/Black_O_Crew_Regular_NoPocket-525f3ba6-4c5f-45e4-bffb-6863476ae1bf.jpg,"Short Sleeve T-Shirt, Black, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Black,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-14,448,https://img.sonofatailor.com/images/customizer/product/DeepBlue_O_Crew_Regular_NoPocket-83393202-75d5-4ca4-830b-9e31aec1ba43.jpg,"Short Sleeve T-Shirt, Deep Blue, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Deep Blue,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-25,448,https://img.sonofatailor.com/images/customizer/product/LightGrey_O_Crew_Regular_NoPocket-9d97feb5-1310-448a-b1dd-00640cadb5c3.jpg,"Short Sleeve T-Shirt, Light Grey, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Light Grey,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-26,448,https://img.sonofatailor.com/images/customizer/product/LightGrey_O_Crew_Regular_NoPocket-3a94bb42-a34b-44ab-9549-a9970959fc1c.jpg,"Short Sleeve T-Shirt, Light Grey, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Light Grey,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-27,448,https://img.sonofatailor.com/images/customizer/product/DarkGrey_O_Crew_Regular_NoPocket-2eb9dcf4-1f8f-4154-b747-68e2acb5d87b.jpg,"Short Sleeve T-Shirt, Dark Grey, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Dark Grey,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-28,448,https://img.sonofatailor.com/images/customizer/product/DarkGrey_O_Crew_Regular_NoPocket-63240ccd-93b9-4919-9db1-18cf147faa0a.jpg,"Short Sleeve T-Shirt, Dark Grey, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Dark Grey,,,,,,,,,,in stock,O-Neck Crew
